title,year
The Battle of Sinai,
The Brute,1920
Bedrooms,
Bereavement,
Oh! Heavenly Dog,
Beijing Bastards,
Baghi Sipahi,1958
Being Human,1994
Barsaat,1949
Bread and Tulips,
Bamboo Gods and Iron Men,
Beware! Children at Play,
Blackmail,1947
Bugs,2003
The Benchwarmers,
The Beach,1954
Brides,2014
Barbie: A Fairy Secret,
Blue Car,
Bandra,
Burke & Hare,1972
List of films: P,
Bulldog Jack,
Bo Nay Toe,
Batman: Assault on Arkham,
Bananas,
"Bless Me, Ultima",
Black Friday,2004
Baagyavathi,
Bats,
"Banderas, the Tyrant",
Bathing Franky,
Blue Beetle,
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,
Boys and Girls,1983
The Balloonatic,
Bar-B-Que Movie,
Be Your Age,
Bafana,
Black Box,2002
Black Caesar,
Beethoven's 2nd,
Bonded by Blood,
Blood Brothers,1996
Bloodhounds of the North,
Butterfly Tongues,
Brother and Sister,2010
Beatrice Cenci,1969
Beaufort,
The Black Pierrot,1913
List of films: A,
Brass Target,
A Bucket of Blood,
The Barn,
The Ballad of Buster Scruggs,
Bastille Day,2016
Bride Wars,2015
The Butterfly on the Wheel,
Blonde Venus,
Battle of Los Angeles,
Bozo,
Bug,2002
Bird Box,
The Big Bounce,1969
The Blue Lagoon,1923
Baazi,1984
Bhadrakali,
Bawa Karma,
Boudu Saved from Drowning,
Beyond,2014
Baaghi,2000
Bachelor Bait,
